"x"
"Adopt-A-Basket"
"Agency Issues"
"Collection Truck Noise"
"Complaint"
"Compliment"
"Derelict Bicycle"
"Derelict Vehicles"
"Dirty Conditions"
"Foam Ban Enforcement"
"Graffiti"
"Literature Request"
"Litter Basket / Request"
"Missed Collection (All Materials)"
"Other Enforcement"
"Overflowing Litter Baskets"
"Overflowing Recycling Baskets"
"Recycling Enforcement"
"Request Xmas Tree Collection"
"Sanitation Condition"
"Snow"
"Standpipe - Mechanical"
"Sweeping/Inadequate"
"Sweeping/Missed"
"Sweeping/Missed-Inadequate"
"Vacant Lot"
